annee,nombre_naissances,nombre_deces,jeu_de_donnees,code_insee,commune,trigram,code_postal
2019,89,95,GEO2020RFD2019,38562,Vizille,VIZ,38220,
2018,80,100,GEO2020RFD2018,38562,Vizille,VIZ,38220,
2017,72,98,GEO2020RFD2017,38562,Vizille,VIZ,38220,
2016,84,88,GEO2020RFD2016,38562,Vizille,VIZ,38220,
2015,102,97,GEO2020RFD2015,38562,Vizille,VIZ,38220,
2014,86,81,RFD2014,38562,Vizille,VIZ,38220,
2013,92,85,RFD2013,38562,Vizille,VIZ,38220,
2012,92,73,RFD2012,38562,Vizille,VIZ,38220,
2011,120,90,RFD2011,38562,Vizille,VIZ,38220,
2010,103,58,RFD2010,38562,Vizille,VIZ,38220,
2009,107,95,RFD2009,38562,Vizille,VIZ,38220,
2008,125,88,RFD2008,38562,Vizille,VIZ,38220,
2007,103,62,RFD2007,38562,Vizille,VIZ,38220,
2019,5,1,GEO2020RFD2019,38277,Notre-Dame-de-Commiers,NDC,38450,
2018,5,2,GEO2020RFD2018,38277,Notre-Dame-de-Commiers,NDC,38450,
2017,5,2,GEO2020RFD2017,38277,Notre-Dame-de-Commiers,NDC,38450,
2016,12,0,GEO2020RFD2016,38277,Notre-Dame-de-Commiers,NDC,38450,
2015,6,2,GEO2020RFD2015,38277,Notre-Dame-de-Commiers,NDC,38450,
2014,9,1,RFD2014,38277,Notre-Dame-de-Commiers,NDC,38450,
2013,4,3,RFD2013,38277,Notre-Dame-de-Commiers,NDC,38450,
2012,6,3,RFD2012,38277,Notre-Dame-de-Commiers,NDC,38450,
2011,6,2,RFD2011,38277,Notre-Dame-de-Commiers,NDC,38450,
2010,3,4,RFD2010,38277,Notre-Dame-de-Commiers,NDC,38450,
2009,5,2,RFD2009,38277,Notre-Dame-de-Commiers,NDC,38450,
2008,10,0,RFD2008,38277,Notre-Dame-de-Commiers,NDC,38450,
2007,10,3,RFD2007,38277,Notre-Dame-de-Commiers,NDC,38450,
2019,42,46,GEO2020RFD2019,38170,Le Fontanil-Cornillon,FTC,38120,
2018,40,38,GEO2020RFD2018,38170,Le Fontanil-Cornillon,FTC,38120,
2017,24,46,GEO2020RFD2017,38170,Le Fontanil-Cornillon,FTC,38120,
2016,32,34,GEO2020RFD2016,38170,Le Fontanil-Cornillon,FTC,38120,
2015,28,31,GEO2020RFD2015,38170,Le Fontanil-Cornillon,FTC,38120,
2014,32,27,RFD2014,38170,Le Fontanil-Cornillon,FTC,38120,
2013,24,30,RFD2013,38170,Le Fontanil-Cornillon,FTC,38120,
2012,37,36,RFD2012,38170,Le Fontanil-Cornillon,FTC,38120,
2011,45,23,RFD2011,38170,Le Fontanil-Cornillon,FTC,38120,
2010,26,36,RFD2010,38170,Le Fontanil-Cornillon,FTC,38120,
2009,37,29,RFD2009,38170,Le Fontanil-Cornillon,FTC,38120,
2008,44,24,RFD2008,38170,Le Fontanil-Cornillon,FTC,38120,
2007,38,25,RFD2007,38170,Le Fontanil-Cornillon,FTC,38120,
2019,90,61,GEO2020RFD2019,38423,Saint-Martin-le-Vinoux,SMV,38950,
2018,86,50,GEO2020RFD2018,38423,Saint-Martin-le-Vinoux,SMV,38950,
2017,83,55,GEO2020RFD2017,38423,Saint-Martin-le-Vinoux,SMV,38950,
2016,81,49,GEO2020RFD2016,38423,Saint-Martin-le-Vinoux,SMV,38950,
2015,87,42,GEO2020RFD2015,38423,Saint-Martin-le-Vinoux,SMV,38950,
2014,99,51,RFD2014,38423,Saint-Martin-le-Vinoux,SMV,38950,
2013,83,48,RFD2013,38423,Saint-Martin-le-Vinoux,SMV,38950,
2012,74,43,RFD2012,38423,Saint-Martin-le-Vinoux,SMV,38950,
2011,67,37,RFD2011,38423,Saint-Martin-le-Vinoux,SMV,38950,
2010,80,41,RFD2010,38423,Saint-Martin-le-Vinoux,SMV,38950,
2009,82,29,RFD2009,38423,Saint-Martin-le-Vinoux,SMV,38950,
2008,75,33,RFD2008,38423,Saint-Martin-le-Vinoux,SMV,38950,
2007,74,18,RFD2007,38423,Saint-Martin-le-Vinoux,SMV,38950,
2019,120,81,GEO2020RFD2019,38485,Seyssinet-Pariset,SSP,38170,
2018,120,79,GEO2020RFD2018,38485,Seyssinet-Pariset,SSP,38170,
2017,133,65,GEO2020RFD2017,38485,Seyssinet-Pariset,SSP,38170,
2016,146,74,GEO2020RFD2016,38485,Seyssinet-Pariset,SSP,38170,
2015,143,71,GEO2020RFD2015,38485,Seyssinet-Pariset,SSP,38170,
2014,156,66,RFD2014,38485,Seyssinet-Pariset,SSP,38170,
2013,162,71,RFD2013,38485,Seyssinet-Pariset,SSP,38170,
2012,154,64,RFD2012,38485,Seyssinet-Pariset,SSP,38170,
2011,141,58,RFD2011,38485,Seyssinet-Pariset,SSP,38170,
2010,174,76,RFD2010,38485,Seyssinet-Pariset,SSP,38170,
2009,166,72,RFD2009,38485,Seyssinet-Pariset,SSP,38170,
2008,151,63,RFD2008,38485,Seyssinet-Pariset,SSP,38170,
2007,166,61,RFD2007,38485,Seyssinet-Pariset,SSP,38170,
2019,13,5,GEO2020RFD2019,38471,Le Sappey-en-Chartreuse,SPC,38700,
2018,13,5,GEO2020RFD2018,38471,Le Sappey-en-Chartreuse,SPC,38700,
